0,1,2,3,4,5,6,7,reduced_labels
0,0,0,0,0,0,0,Clear_label,0
37,255,147,230,1,1,1,Hippocampus_L,37
38,0,29,255,1,1,1,Hippocampus_R,37
41,104,255,34,1,1,1,Amygdala_L,41
42,255,247,0,1,1,1,Amygdala_R,41
71,255,0,51,1,1,1,Caudate_L,71
72,0,206,209,1,1,1,Caudate_R,71
73,0,255,127,1,1,1,Lentiform_L,73
74,128,0,128,1,1,1,Lentiform_R,73
77,148,0,211,1,1,1,Thalamus_L,77
78,178,34,34,1,1,1,Thalamus_R,77
91,115,255,0,1,1,1,CorpusCallosum,91
92,0,191,255,1,1,1,Lateral_Ventricle_L,92
93,98,0,255,1,1,1,Lateral_Ventricle_R,92
94,210,105,30,1,1,1,Brainstem,8
100,176,224,230,1,1,1,Cerebellum_L,100
101,255,240,245,1,1,1,Cerebellum_R,100
108,72,209,204,1,1,1,Subthalamic_Nuc_L,108
109,255,0,255,1,1,1,Subthalamic_Nuc_R,108
110,199,21,133,1,1,1,Hippocampal_Comm,110
111,255,102,0,1,1,1,Fornix,111
112,167,70,22,1,1,1,Cortical_Plate_L,112
113,255,92,95,1,1,1,Cortical_Plate_R,112
114,37,185,0,1,1,1,Subplate_L,114
115,0,115,255,1,1,1,Subplate_R,114
116,250,210,170,1,1,1,Inter_Zone_L,116
117,250,250,130,1,1,1,Inter_Zone_R,116
118,42,0,255,1,1,1,Prolif_Zone_L,118
119,0,108,5,1,1,1,Prolif_Zone_R,118
120,250,210,170,1,1,1,White_Matter_L,120
121,250,250,130,1,1,1,White_Matter_R,120
122,162,162,162,1,1,1,Internal_Capsule_L,122
123,255,97,248,1,1,1,Internal_Capsule_R,122
124,136,161,230,0.61,1,0,CSF,124
126,183,255,0,1,1,1,Gang_Em_L,126
127,255,247,0,1,1,1,Gang_Em_R,126
