label,name,voxeluncertainty,,
37,Hippocampus_L,1,1,0
38,Hippocampus_R,1,1,0
41,Amygdala_L,3,3,0
42,Amygdala_R,3,3,0
71,Caudate_L,2,2,0
72,Caudate_R,2,2,0
73,Lentiform_L,1,1,0
74,Lentiform_R,1,1,0
77,Thalamus_L,1,1,0
78,Thalamus_R,1,1,0
91,CorpusCallosum,1,1,0
92,Lateral_Ventricle_L,0,0,0
93,Lateral_Ventricle_R,0,0,0
94,Brainstem,0,0,0
100,Cerebellum_L,0,0,0
101,Cerebellum_R,0,0,0
108,Subthalamic_Nuc_L,3,3,0
109,Subthalamic_Nuc_R,3,3,0
110,Hippocampal_Comm,3,3,0
111,Fornix,0,0,0
112,Cortical_Plate_L,2,1,1
113,Cortical_Plate_R,2,1,1
114,Subplate_L,-99,3,-102
115,Subplate_R,-99,3,-102
116,Inter_Zone_L,-99,2,-101
117,Inter_Zone_R,-99,2,-101
118,Prolif_Zone_L,2,2,0
119,Prolif_Zone_R,2,2,0
120,White_Matter_L,1,-99,100
121,White_Matter_R,1,-99,100
122,Internal_Capsule_L,2,2,0
123,Internal_Capsule_R,2,2,0
124,CSF,1,0,1
126,Gang_Em_L,1,1,0
127,Gang_Em_R,1,1,0
