name,uncertainty,erode
Hippocampus_L,1,
Hippocampus_R,1,
Amygdala_L,3,
Amygdala_R,3,
Caudate_L,2,
Caudate_R,2,
Lentiform_L,1,
Lentiform_R,1,
Thalamus_L,1,
Thalamus_R,1,
CorpusCallosum,1,
Lateral_Ventricle_L,0,
Lateral_Ventricle_R,0,
Brainstem,0,
Cerebellum_L,0,
Cerebellum_R,0,
Subthalamic_Nuc_L,3,
Subthalamic_Nuc_R,3,
Hippocampal_Comm,3,
Fornix,0,
Cortical_Plate_L,2,
Cortical_Plate_R,2,
Prolif_Zone_L,2,
Prolif_Zone_R,2,
White_Matter_L,1,
White_Matter_R,1,
Internal_Capsule_L,2,
Internal_Capsule_R,2,
CSF,1,
Gang_Em_L,1,
Gang_Em_R,1,
